Feature,Importance
fixation_durations,0.26077056155608547
saccade_peak_speeds,0.08274808684403301
saccade_speeds,0.06811614532192455
blink_rate,0.05318028085597173
fixation_nums,0.015002883371518538
lhipas,0.00747494583937286
ipas,0.00198562989978337
