Feature,RF,XGB,LR,SVM,KNN
ipas,0.028570972991980942,0.03912070825708167,0.05998289686687771,0.0933503854078995,0.007614471081147358
lhipas,0.026101582968962173,0.022180143862284424,0.07118876172879136,0.10016959618647453,0.028664837759170062
fixation_nums,0.21374513303938925,0.3990006455144199,0.1798619918453639,0.15398755618096507,0.05753288746242079
fixation_durations,1.0,1.0,1.0,1.0,1.0
blink_rate,0.3243061181885025,0.32117801357241405,0.1374531468416962,0.21611259514313957,0.20393513952890702
saccade_speeds,0.22143729517998775,0.22083979354749447,0.4838210722811023,0.7732821636410129,0.26121102365028426
saccade_peak_speeds,0.21803112565772154,0.47794269092492037,0.43079773743614647,0.6827294682004258,0.31732142750413905
