Feature,RF,XGB,LR,SVM,KNN
ipas,0.028943534294288135,0.029492448536446933,0.05898615953633888,0.09384480401568643,0.040137582610154564
lhipas,0.030899175771360168,0.022316426077990528,0.026133668193387447,0.03732617605738992,0.1449930556202869
fixation_nums,0.2861373399588988,0.4241804500947225,0.17714420712562878,0.15464970646137868,0.3499128457042719
fixation_durations,1.0,1.0,1.0,1.0,1.0
blink_rate,0.2691796667040221,0.3540228360241925,0.12147397363250428,0.20477495179417213,0.5275957532088625
saccade_speeds,0.26367159574133725,0.26030595135656354,0.45411056844145414,0.725966591347905,0.43502577343611637
saccade_peak_speeds,0.26482087448781955,0.5270508923147061,0.3748743325604017,0.6000793182098929,0.36341943121335546
