Feature,mean,std
fixation_durations,3.7559245,0.76256
saccade_peak_speeds,1.7028122,0.3183116
fixation_nums,1.2907698,0.6899602
blink_rate,1.2833084,0.6019769
saccade_speeds,0.7398988,0.21586412
ipas,0.10111269,0.023236733
lhipas,0.074688196,0.019961089
