Feature,Coefficient,AbsCoefficient
fixation_durations,-0.6602619904946622,0.6602619904946622
saccade_speeds,-0.35240476454875247,0.35240476454875247
saccade_peak_speeds,0.265777419530759,0.265777419530759
blink_rate,-0.1623856054965152,0.1623856054965152
fixation_nums,0.038614521652013074,0.038614521652013074
ipas,0.035625429729597854,0.035625429729597854
lhipas,0.022849280053743207,0.022849280053743207
