Feature,RF,XGB,LR,SVM,KNN
ipas,0.017392586339078402,0.01952809432602394,0.02864205542354803,0.05395650551216436,0.00875240359568416
lhipas,0.023406518215268887,0.018578682283456733,0.025992780131538384,0.03460638410614056,0.05429521364768715
fixation_nums,0.2212350966372982,0.33676055498535185,0.09709572670824386,0.05848363559908004,0.35065500942493666
fixation_durations,1.0,1.0,1.0,1.0,1.0
blink_rate,0.20949971533192935,0.2295928894354902,0.15344579389720436,0.24594116855773784,0.11358232848035887
saccade_speeds,0.12789456779391084,0.12765910511546524,0.2772407434198744,0.533734744119882,0.07779598563999549
saccade_peak_speeds,0.14635430166191413,0.31371363191249035,0.20858344852362987,0.4025332721813064,0.11525892527303883
