Feature,mean,std
fixation_durations,2.1342147672455316,0.23385626794530417
saccade_speeds,0.6818799529542879,0.08081019795923118
saccade_peak_speeds,0.4935883004433408,0.06851352523682389
fixation_nums,0.32525555796537153,0.0715750103191739
blink_rate,0.22159615693617749,0.08720112688185513
lhipas,0.09848578039795909,0.027980367496428047
ipas,0.08193508074671692,0.008404561500251016
